Species,Season,Organ,Fish weight (g),Fish length (cm),Al,As,Cd,Cr,Cu,Fe,Mn,Pb,Sb,Se,Sr,Zn
Labeo rosa,Summer,Liver,483.72,33.6,594.79,,1.3485,0.9992,425.88,4072.5,10.196,1.1852,0.6626,48.254,2.3879,281.32
Labeo rosa,Summer,Liver,370.39,35.5,136.85,0.5365,0.6978,,270.85,2069.2,2.9493,,,10.311,0.8013,86.736
Labeo rosa,Summer,Liver,400.01,34.1,226.1,0.8745,1.56,0.4806,843.92,3765.4,9.0886,0.6292,0.0714,29.405,2.7112,122.88
Labeo rosa,Summer,Gill,403.3,31.12,233.66,,,0.5139,2.4046,322.64,37.188,0.7087,,,264.96,156.1
Labeo rosa,Summer,Gill,391.82,32.85,368.49,,,0.9006,2.5135,460.24,46.161,0.9458,,,308.91,200.36
Labeo rosa,Summer,Gill,489.72,35.67,216.82,4.3349,0.0502,0.9398,2.416,281.07,30.854,0.7582,0.4769,,260.24,126.62
Labeo rosa,Summer,Gill,301.59,30.3,285.39,2.0951,0.0276,1.4449,1.6943,291.19,57.573,0.6942,0.0571,,334,188.55
Labeo rosa,Summer,Gill,477.9,34.6,194.72,1.2985,0.0117,0.4614,1.4215,279.79,31.687,0.7439,0.0669,,253.38,237.25
Labeo rosa,Summer,Gill,370.39,35.5,220.67,1.4973,0.0458,0.8828,2.0528,260.68,39.26,0.9354,0.0499,,349.96,191.73
Labeo rosa,Summer,Gill,340.03,30.7,213.51,1.3656,0.0196,1.1409,1.8408,251.32,30.502,0.7685,0.0243,5.3359,233.63,132.05
Labeo rosa,Summer,Gill,400.01,34.1,159.1,1.01,0.0295,1.0637,1.6019,227.67,36.114,1.0613,0.0819,0.0069,250.54,190.93
Labeo rosa,Summer,Muscle,403.3,31.12,23.377,0.3251,0.0154,0.0952,0.5673,5.0949,1.7982,0.0399,,,9.5007,23.221
Labeo rosa,Summer,Muscle,391.82,32.85,18.685,0.3855,,0.1699,0.3303,6.3949,1.6986,0.0732,,2.4679,13.358,24.766
Labeo rosa,Summer,Muscle,489.72,35.67,23.695,0.4706,0.013,0.2153,0.3287,5.4989,2.5995,0.0589,0.0126,3.885,13.799,19.615
Labeo rosa,Summer,Muscle,362.05,31.3,13.597,3.1157,0.0222,0.1498,0.5414,5.6989,1.7996,0.0632,0.4103,5.6658,7.48,26.538
Labeo rosa,Summer,Muscle,301.59,30.3,17.29,0.8312,0.0151,0.4624,0.5307,9.2944,1.2992,0.1091,0.1718,2.611,12.409,25.727
Labeo rosa,Summer,Muscle,477.9,34.6,17.29,0.9885,0.02,3.3175,0.3974,16.99,2.5984,0.0603,0.1462,1.3816,9.9369,25.109
Labeo rosa,Summer,Muscle,483.72,33.6,17.693,1.0349,0.0178,0.4076,0.3363,6.2975,1.3994,0.0838,0.0716,2.5262,8.3944,20.858
Labeo rosa,Summer,Muscle,370.39,35.5,10.496,0.61,0.0113,0.1428,0.5549,9.7961,0.6997,0.0563,0.0818,1.28,5.2591,22.312
Labeo rosa,Summer,Muscle,340.03,30.7,14.294,0.3915,0.0297,0.3945,0.7558,19.492,0.9996,0.0746,0.0228,,10.302,43.127
Labeo rosa,Summer,Muscle,400.01,34.1,21.974,0.1682,,0.2385,0.4915,11.586,2.3971,0.0902,,3.9759,8.6929,24.389
Labeo rosa,Winter,Liver,721.35,38.5,1663,0.7373,0.6269,0.3894,550.43,5762.84,13.892,0.5261,0.247,19.649,0.6843,75.459
Labeo rosa,Winter,Liver,219.31,26.9,1221.2,0.3504,0.0203,0.3266,9.7698,268.85,5.6899,0.1375,,4.1431,0.8827,44.912
Labeo rosa,Winter,Liver,586.61,36,869.44,4.7234,1.6448,0.4136,763.05,1423.26,5.7292,0.3142,0.9952,38.665,0.715,111.26
Labeo rosa,Winter,Liver,255.32,30.1,940.78,4.5448,0.4409,3.5926,428.13,3610.19,10.68,0.196,1.02,24.853,0.7281,118.46
Labeo rosa,Winter,Liver,337.02,24.3,1277.2,1.095,0.9275,0.902,307.92,10112.87,21.52,0.3857,0.5654,45.599,0.8836,176.97
Labeo rosa,Winter,Liver,311.03,24.9,1702.7,0.7239,1.1447,0.6664,348.94,7113.86,16.405,0.4366,0.1856,6.6691,0.9098,126.01
Labeo rosa,Winter,Liver,254.94,29.6,1650.9,0.5119,0.7935,0.6714,301.07,6169.4,18.534,0.439,0.3709,30.119,1.232,118.02
